채널,시작초,끝초,근거
K-POP,211,224,"곡→카테고리 7/7 KPOP(노스텔지어·풀 문·날아올라·체이스 미·또다른 진심 등) — 그중 5곡이 뉴튠즈 목록에 없어 «뉴튠즈» 옛 판정 뒤집음. 크기 17=KPOP 유니크 17"
숏컷 채널,228,270,SHORT CUT — 니알라토텝-SHORT CUT
풀송 채널,458,470,FULL SONG — 굿나이트/폴문/86-FULL SONG
리믹스 채널,472,508,REMIX — 반야 클래식/힙합 리믹스·데사파레세르
리믹스 채널,5835,5850,REMIX — 인피니티 리믹스·디스트릭트V
숏컷 채널,6339,6346,"«사월 - SHORT CUT -»·«히페리온 - SHORT CU…» 직독 · 001/070. 옛 창 6335~6355 는 PRIME 2 진입(6348)과 D11(6354)까지 삼켰다 — 크기 70 구간만 남긴다"
CO-OP,710,786,"001 빌려온 고양이·007 날아올라·027 하트 래빗 코스터 등 제목 직독 — 11:49 설명줄 «두 명 이상 협동 플레이…» + 크기 135"
CO-OP,972,988,"재방문(역방향) — 001 빌려온 고양이·134 베들램·120 오벨리스크 직독"
리믹스 채널,988,991,"16:30 «디스트릭트 V 001/038» 직독 — 짧은 재확인"
WORLD MUSIC,1235,1325,"곡→카테고리 대조 12/12 만장일치(크래쉬 랜딩 랑데부·콰투오룩스·지젤·아라가미·R.I.P.·네크로맨시 등 전원 WORLDMUSIC). 첫 판정 XROSS 는 옆 타일 로고 오독"
PHOENIX 2,4597,4602,"«017/019 프리덤 다이브» 직독 = 정본 P2 017 일치"
PHOENIX,4603,4612,"«128/132 익스트림 음악학원» — 정본 127 익스트림과 연속"
PHOENIX,4784,4790,"«127/132 익스트림 음악학원» 직독 = 정본 127 일치"
PRIME,4864,4876,"«001/076 네메시스» 직독 = 정본 001 일치 + 캐러셀 «프라임» 타일"
D24,5352,5362,"전 프레임 레벨 24 뱃지 + 이탈 캐러셀 «LV.24·25». 크기 103(정본 104±1)"
PHOENIX,5854,5906,"97:33 «SERIES ZONE 시리즈별로 곡을 구분한 채널» 직독 → «038/132 피가로의 결혼 ~Celebrazione Remix~» = 정본 038 일치"
PHOENIX,6075,6105,"038/132 피가로 자리 복귀 → 체이스 미로 이동(104:54 플레이). 5854 창과 같은 132 존"
XROSS,992,1030,"곡→카테고리 대조 11/11 만장일치(드림체이서즈·킬 뎀!·클루 등 전원 XROSS) + XROSS 유니크 곡수 45 = 채널 크기 45 정합"
WORLD MUSIC,503,506,"8:24 «001/127 크래쉬 랜딩 랑데부» 직독 — 첫 방문(20:35 이전)"
ORIGINAL,506,508,"«001/332 엔조이 더 쇼» 직독 + ORIGINAL 로고. 숫자 보고 바로 이탈(사용자 진술 그대로)"
K-POP,508,510,"«001/017 고민중독» 직독 + POP 로고"
ORIGINAL,1552,1555,"25:53 001/332 재확인(카운터 판독) — 화면은 전환 커튼이라 곡명 없음"
S25,3588,3597,"«RANDOM SINGLE 25 OVER» 진입 — 001 랜덤 타일·002/011 카운터 직독 (59:48 캐러셀 «SINGLE OVER LV.25»)"
D27,5611,5625,"«RANDOM DOUBLE 27 OVER» 진입 — 001/011 카운터+타일 직독"
