초,크기,예측채널,자동판독알,교차판정
711,135,-,,알없음
975,135,-,,알없음
1571,19,S1+R,01,일치
1585,30,S2+R,02,일치
1605,91,"S22,S3+R",03,일치
1817,154,S4+R,05,불일치(예측 4)
1858,80,S5+R,05,일치
2074,145,S7+R,07,일치
2310,65,S14+R,,알없음
2324,107,S11+R,11,일치
2366,79,"S13+R,S5,S9+R",13,일치
2579,121,"S15,S20+R",15,일치
2605,65,S14+R,,알없음
2853,177,S17+R,17,일치
3091,149,S19,19,일치
3287,149,S19,19,일치
3336,132,S21,21,일치
3546,92,S22+R,22,일치
3806,121,"S15,S20+R",15,일치
4263,15,"D8,D9+R",06,불일치(예측 8·9)
4282,17,-,08,크기예측없음
4317,47,-,11,크기예측없음
4522,61,D14,12,불일치(예측 14)
4815,102,-,17,크기예측없음
5045,119,-,19,크기예측없음
5070,129,D20+R,20,일치
5090,111,S12+R,21,불일치(예측 12)
5308,122,"D22,S15+R",22,일치
5331,106,"D23+R,S11",23,일치
6353,107,S11+R,11,일치
