채널,위치,곡,근거,등급
K-POP,1,고민중독,nolja_0814 3:31 커서 통과 (arcade_0814_song_ev),커서통과
K-POP,2,빌려온 고양이,nolja_0814 3:31 커서 통과 (arcade_0814_song_ev),커서통과
K-POP,3,뱅 뱅,nolja_0814 3:31 커서 통과 (arcade_0814_song_ev),커서통과
K-POP,4,404 (뉴 에라),nolja_0814 3:31 커서 통과 (arcade_0814_song_ev),커서통과
K-POP,5,스톰,nolja_0814 3:32 커서 통과 (arcade_0814_song_ev),커서통과
K-POP,6,비행기,nolja_0814 3:33 커서 통과 (arcade_0814_song_ev),커서통과
K-POP,7,노스텔지어,nolja_0814 3:34 커서 통과 (arcade_0814_song_ev),커서통과
K-POP,8,조깅,nolja_0814 3:34 커서 통과 (arcade_0814_song_ev),커서통과
K-POP,9,풀 문,nolja_0814 3:34 커서 통과 (arcade_0814_song_ev),커서통과
K-POP,10,타이밍,nolja_0814 3:36 커서 통과 (arcade_0814_song_ev),커서통과
K-POP,11,날아올라,nolja_0814 3:36 커서 통과 (arcade_0814_song_ev),커서통과
K-POP,12,유 앤 아이,nolja_0814 3:38 커서 통과 (arcade_0814_song_ev),커서통과
K-POP,13,체이스 미,nolja_0814 3:38 커서 통과 (arcade_0814_song_ev),커서통과
K-POP,14,굿 나이트,nolja_0814 3:39 커서 통과 (arcade_0814_song_ev),커서통과
K-POP,15,디그니티,nolja_0814 3:39 커서 통과 (arcade_0814_song_ev),커서통과
K-POP,16,슬램,nolja_0814 3:41 커서 통과 (arcade_0814_song_ev),커서통과
K-POP,17,또다른 진심,nolja_0814 3:31 커서 통과 (arcade_0814_song_ev),커서통과
NEW TUNES,1,고민중독,nolja_0808 35:20~35:49 프레임 판독 2026-08-25 (채널 크기 19),프레임직독
NEW TUNES,2,빌려온 고양이,nolja_0808 35:20~35:49 프레임 판독 2026-08-25 (채널 크기 19),프레임직독
NEW TUNES,3,뱅 뱅,nolja_0808 35:20~35:49 프레임 판독 2026-08-25 (채널 크기 19),프레임직독
NEW TUNES,4,404 (뉴 에라),nolja_0808 35:20~35:49 프레임 판독 2026-08-25 (채널 크기 19),프레임직독
NEW TUNES,5,엔조이 더 쇼,nolja_0808 35:20~35:49 프레임 판독 2026-08-25 (채널 크기 19),프레임직독
NEW TUNES,6,응징 레스토랑,nolja_0808 35:20~35:49 프레임 판독 2026-08-25 (채널 크기 19),프레임직독
NEW TUNES,7,블레이저,nolja_0808 35:20~35:49 프레임 판독 2026-08-25 (채널 크기 19),프레임직독
NEW TUNES,8,B3,nolja_0808 35:20~35:49 프레임 판독 2026-08-25 (채널 크기 19),프레임직독
NEW TUNES,9,디기탈리스,nolja_0808 35:20~35:49 프레임 판독 2026-08-25 (채널 크기 19),프레임직독
NEW TUNES,10,더 라스트 리벨리온,nolja_0808 35:20~35:49 프레임 판독 2026-08-25 (채널 크기 19),프레임직독
NEW TUNES,11,오버나이트 플라워,nolja_0808 35:20~35:49 프레임 판독 2026-08-25 (채널 크기 19),프레임직독
NEW TUNES,12,레전더리 도미니언,nolja_0808 35:20~35:49 프레임 판독 2026-08-25 (채널 크기 19),프레임직독
NEW TUNES,13,크래쉬 랜딩 랑데부,nolja_0808 35:20~35:49 프레임 판독 2026-08-25 (채널 크기 19),프레임직독
