채널,위치,곡,근거,등급
ORIGINAL,74,오블리터레이션,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,75,트란사칼리아,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,76,1949,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,77,야누스,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,78,아이 원트 유,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,79,디스트릭트 1,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,80,슈가 플럼,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,81,텔링 포츈 플라워,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,82,니알라토텝,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,83,하트 래빗 코스터,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,84,립톤 스트라이크,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,85,스켑틱,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,86,아이올라이트 스카이,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,87,퍼센트 엑스,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,88,금혼식,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,89,라 그랑드 루즈,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,90,까르멘 버스,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,91,마카롱 데이,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,92,아이스 오브 데스,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,93,포세이돈,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,94,아드레날린 블래스터,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,95,배니쉬,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,96,테일즈 오브 펌프니아,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,97,김치 핑거즈,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,98,오르비트 스테빌라이저,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,99,파괴,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,100,클레마티스 랩소디아,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,101,위키드 레전드,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,102,탄탄멘,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,103,스타드림 (feat. Romelon),닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,104,캉-캉 ~Orpheus in The Party Mix~,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,105,파파시토 (feat. KuTiNA),닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,106,파이어 오브 데스티니,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,107,디 엔드 오브 더 월드 ft. Skizzo,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,108,포가튼 뱀파이어,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,109,아마겟돈,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,110,리펜턴스,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,111,더 레버리,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,112,시그너스,닻 74·112 의 밀림이 둘 다 +3,구간확정
ORIGINAL,113,트로피카닉,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,114,갓 모드 2.0 feat. Skizzo,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,115,라스트 리버스,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,116,슈퍼 카프리시오,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,117,헬파이어,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,118,트리튬,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,119,크로스 오버 feat. LyuU,닻 112·261 의 밀림이 둘 다 +3,구간확정
ORIGINAL,120,갓 모드 feat. skizzo,닻 112·261 의 밀림이 둘 다 +3,구간확정
