시리즈존,존전체곡수,번호,확정도,곡,판독,VOD시각
1st~ZERO,81,1,화면에나옴,디그니티 - FULL SONG -,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,2,화면에나옴,디그니티,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,3,화면에나옴,슬램,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,4,화면에나옴,또다른 진심,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,5,화면에나옴,비트 오브 더 워 2,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,6,화면에나옴,월광,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,7,화면에나옴,위치 닥터,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,8,화면에나옴,러브 이즈 어 데인저 존 pt.2,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,9,화면에나옴,팬텀,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,10,화면에나옴,파파 곤잘레스,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,11,화면에나옴,점프,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,12,화면에나옴,러브 이즈 어 데인저 존 2 (Try To B.P.M),재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,13,화면에나옴,러브 이즈 어 데인저 존 pt.2 어나더,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,14,화면에나옴,제이 봉,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,15,화면에나옴,하이 바이,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,16,화면에나옴,무혼 2,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,17,화면에나옴,캐논 디,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,18,화면에나옴,트림 북 오브 더 워,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,19,화면에나옴,반야 클래식 리믹스,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,20,화면에나옴,반야 힙합 리믹스,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,21,화면에나옴,캐논 디 - FULL SONG -,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,22,화면에나옴,파이널 오디션 3,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,23,화면에나옴,태동 2,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,24,화면에나옴,몽키 핑거즈,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,25,보간,블레이징,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,26,보간,펌프 미 아마데우스,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,27,보간,엑스트림,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,28,보간,겟 업!,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,29,보간,비,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,30,보간,디 갱,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,31,보간,헬로우,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,32,보간,비트 오브 더 워,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,33,보간,컴 투 미,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,34,보간,닥터 엠,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,35,보간,엠페러,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,36,보간,겟 유어 그루브 온,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,37,보간,러브 이즈 어 데인저 존,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,38,보간,마리아,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,39,보간,미션 파서블,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,40,보간,마이웨이,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,41,보간,포인트 브레이크,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,42,보간,스트리트 쇼다운,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,43,보간,탑 시티,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,44,보간,윈터,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,45,보간,윌 오 더 위스프,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,46,보간,틸 디 엔드 오브 타임,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,47,보간,오이 오이 오이,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,48,보간,위 윌 밋 어게인,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,49,보간,미스 에스 스토리,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,50,보간,셋 미 업,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,51,보간,댄스 위드 미,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,52,보간,부크,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,53,보간,우편마차,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,54,보간,치킨 윙,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,55,보간,라젠스키 캉캉,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,56,보간,파이널 오디션 에피소드 1,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,57,보간,엑스트라 반야 리믹스,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,58,보간,펌프 점프,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,59,화면에나옴,엔,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,60,화면에나옴,롤링 크리스마스,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,61,화면에나옴,올 아이 원트 포 크리스마스,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,62,화면에나옴,베토벤 바이러스,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,63,화면에나옴,오! 로사,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,64,보간,첫사랑,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,65,보간,사랑가,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,66,보간,무혼,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,67,화면에나옴,미스터 라푸스,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,68,화면에나옴,파이널 오디션 2,재판독,22:40~23:12 / 26:58~27:35
1st~ZERO,81,69,화면에나옴,태동,재판독,22:40~23:12 / 26:58~27:35
