존,종류,곡,화면위치,근거초
D18,제거,슈퍼 판타지,,사용자 확인으로 제거 확정(2026-08-28)
D8,제거,미션 파서블,,사용자 확인으로 제거 확정(2026-08-28)
D24,제거,네오 카타르시스 - SHORT CUT -,,5349
D24,제거,힘 오브 골든 글로리 - SHORT CUT -,,5349
S15,제거,힘 오브 골든 글로리 - SHORT CUT -,,2586
S23,제거,네오 카타르시스 - SHORT CUT -,,3569
S23,제거,힘 오브 골든 글로리 - SHORT CUT -,,3569
S20,제거,(2곡 — 1~54 구간 미특정),,3323
S20,삽입,(곡명 미독),87~120,3330
S19,제거,(1곡 — 80~85 구간은 0 실측 · 자리 미특정),,3105
D15,잔여,(+1 — 통과 구간 1~24 diff 없음 · 25~79 미통과),,4577
D18,잔여,(+1 — 통과 구간 92~117 diff 없음),,4855
D16,잔여,(+2 — 067~079 미통과 구간),,4802
D17,잔여,(중간 −6 시프트 구간 다수 제거+뒤 신곡 블록 — 개별 특정은 전구간 판독 필요),,4823
D21,제거,(1곡 — 미통과 구간),,5098
D22,잔여,(-1 — 관측 구간 039~053 은 오프셋 0 · 제거는 미통과 구간),,5306
S15,잔여,(+1 — 관측 구간 059~066 은 오프셋 -2 유지 · 삽입은 미통과 구간),,2596
D6,제거,디 갱,,
D6,삽입,유 갓 미 락킹,9,
D5,제거,유 갓 미 락킹,,
D14,제거,첫사랑,,
