level,songId,stepId,title,titleEn,artistEn,difficulty,effectiveLevel,voteDifficulty,voteStd,convergenceScore,specialRatio,special,defined,clearCount,totalCount,realClearCount,realTotalCount,breakOnRate,totalBreakOnRate,bpmMin,bpmMax,stepArtist,versionIdOfChart,isPremium,isRemix,deleted,disabled,tagIds,tagVals,imageUrl,youtubeUrl,youtubeUrl3rd
S1,33,112,여래아,Yeo rae a,SID-SOUND,S1,8.343602,1.219,0.083,0.526,0.4,False,True,697,799,14,20,0.7,0.8723,90,90,EXC,3,False,False,False,False,6|17|0|1|2,0.500|0.500|0.000|0.000|0.000,https://piugame.com/data/song_img2/1fbb103bbc7d1a94d6e994b27c2e6b9a.png?v=20260701145646,,https://www.youtube.com/watch?v=i5Q0khDdfJE
S1,8,451,애프터 라이크,After LIKE,IVE,S1,1.053101,0.5,0.0,0.6,0.0,False,True,297,324,8,9,0.8889,0.9167,125,125,CONRAD,7,False,False,False,False,0|1|2|3|4,0.000|0.000|0.000|0.000|0.000,https://piugame.com/data/song_img/ed7e43efd28eba896f90b94ff1ebc06f.png?v=20251219163819,https://www.youtube.com/watch?v=pNuCuCyhU0A,https://www.youtube.com/watch?v=mh0mWNx52oA
S1,16,1566,배드 애플!! feat. Nomico,Bad Apple!! feat. Nomico,Masayoshi Minoshima,S1,1.432108,0.5,0.0,0.6,0.0,False,True,162,176,3,4,0.75,0.9205,138,138,NIMGO,4,False,False,False,False,0|1|2|3|4,0.000|0.000|0.000|0.000|0.000,https://piugame.com/data/song_img2/1c6e00d20fd612097ff9cae790e16827.png?v=20260701145646,,https://www.youtube.com/watch?v=bQRMDC2zDpU
S1,93,2009,비행기,Airplane,TYPHOON,S1,1.03628,0.25,0.0,0.658,0.0,False,True,202,218,10,10,1.0,0.9266,120,120,NIMGO,7,False,False,False,False,0|1|2|3|4,0.000|0.000|0.000|0.000|0.000,https://piugame.com/data/song_img2/f47eb7519299f8c8e848d95c6cc74967.png?v=20260701145646,https://www.youtube.com/watch?v=4GAZbzfr2pQ,https://www.youtube.com/watch?v=kXK9trqcqY4
S1,126,2181,얼론,Alone,Highlight,S1,1.0,0.0,0.0,0.764,0.0,False,True,159,171,7,7,1.0,0.9298,115,115,SUNNY,7,False,False,False,False,0|1|2|3|4,0.000|0.000|0.000|0.000|0.000,https://piugame.com/data/song_img/f1bc02103c6dc2b47d08cef830176035.png?v=20251219163819,https://www.youtube.com/watch?v=EcUXtVMlOIw,https://www.youtube.com/watch?v=o4tFU9aG2CY
S1,119,2515,날아올라,Fly high,Dreamcatcher,S1,1.732154,0.75,0.0,0.658,0.0,False,True,66,70,5,5,1.0,0.9429,154,154,BME,6,False,False,False,False,0|1|2|3|4,0.000|0.000|0.000|0.000|0.000,https://piugame.com/data/song_img2/d35d8bf23ed86a5011b5f524fe9d6ed1.png?v=20260701145646,,https://www.youtube.com/watch?v=P8uto3fBNtg
S1,45,2771,유 앤 아이,YOU AND I,Dreamcatcher,S1,1.0,0.0,0.0,0.764,0.0,False,True,94,99,4,4,1.0,0.9495,194,194,EXC,6,False,False,False,False,0|1|2|3|4,0.000|0.000|0.000|0.000|0.000,https://piugame.com/data/song_img2/348076ff6d242d366c6d8240e538b454.png?v=20260701145646,,https://www.youtube.com/watch?v=ftaAY2TvSQI
S1,113,3322,설탕음모론,Sugar Conspiracy Theory,MAX,S1,1.751806,1.0,0.0,0.764,0.0,False,True,80,91,5,6,0.8333,0.8791,170,170,NIMGO,4,False,False,False,False,0|1|2|3|4,0.000|0.000|0.000|0.000|0.000,https://piugame.com/data/song_img2/0bdfc5f0e5b53f865872306f51fc0f32.png?v=20260701145646,,https://www.youtube.com/watch?v=qoN1CFF6XDc
S1,402,3358,레이디버그,Ladybug,Coconut,S1,1.358329,0.5,0.0,0.6,0.0,False,True,73,79,3,3,1.0,0.9241,133,133,HP,3,False,False,False,False,0|1|2|3|4,0.000|0.000|0.000|0.000|0.000,https://piugame.com/data/song_img2/c764058ef1abe73675a6b1b288f0104c.png?v=20260701145646,,https://www.youtube.com/watch?v=JSFSwUJEf6o
S1,492,3491,키티 캣,Kitty Cat,Coconut,S1,1.607609,0.75,0.5,0.423,0.0,False,True,90,97,3,3,1.0,0.9278,128,128,HP,3,False,False,False,False,0|1|2|3|4,0.000|0.000|0.000|0.000|0.000,https://piugame.com/data/song_img2/8f11c284b028ea874be1526d5888ac0a.png?v=20260701145646,,https://www.youtube.com/watch?v=LlQXxaqG2G4
S1,482,3558,아마이 유우와쿠 데인저러스,甘い誘惑デインジャラス Amai Yuuwaku Dangerous,Bakusute Sotokanda Icchome,S1,1.362068,0.5,0.0,0.6,0.0,False,True,53,61,4,4,1.0,0.8689,125,125,BANNIE,4,False,False,False,False,0|1|2|3|4,0.000|0.000|0.000|0.000|0.000,https://piugame.com/data/song_img2/944b44536234a97d16db0c83a1f2bf4f.png?v=20260701145646,,https://www.youtube.com/watch?v=ylU1c4PyYCc
S1,454,3699,케이.오.에이 : 엘리스 인 원더월드,K.O.A : Alice In Wonderworld,Banya Production,S1,1.716134,0.75,0.0,0.658,0.0,False,True,56,60,3,3,1.0,0.9333,156,156,BPM,2,False,False,False,False,0|1|2|3|4,0.000|0.000|0.000|0.000|0.000,https://piugame.com/data/song_img2/a874f7b05f1a86fa3b80ec45f304c50c.png?v=20260701145646,,https://www.youtube.com/watch?v=829geoZdGlE
S1,226,3769,스타드림 (feat. Romelon),Stardream (feat. Romelon),Cashew,S1,1.539551,0.75,0.0,0.658,0.0,False,True,73,87,5,6,0.8333,0.8391,160,160,SUNNY,6,False,False,False,False,0|1|2|3|4,0.000|0.000|0.000|0.000|0.000,https://piugame.com/data/song_img2/0a5705bb58882d059fcdbd5aea9b9cce.png?v=20260701145646,,https://www.youtube.com/watch?v=dIxoP21sKJk
S1,272,3770,위 갓 투 노우,We Got 2 Know,MAX,S1,1.108171,0.25,0.0,0.658,0.0,False,True,49,52,3,3,1.0,0.9423,128,128,BPM & XqolopX,3,False,False,False,False,0|1|2|3|4,0.000|0.000|0.000|0.000|0.000,https://piugame.com/data/song_img2/0b75dc7c2243277815afefc46a62a135.png?v=20260701145646,,https://www.youtube.com/watch?v=FJ2MyL2EKf8
S1,376,3868,라라,Lala,Yassi Pressman,S1,1.165009,0.25,0.0,0.658,0.0,False,True,57,66,2,3,0.6667,0.8636,126,126,SUNNY,6,False,False,False,False,0|1|2|3|4,0.000|0.000|0.000|0.000|0.000,https://piugame.com/data/song_img2/9dccb5b56aff18745238b883d32a4863.png?v=20260701145646,https://www.youtube.com/watch?v=p9M4qF2IPy0,https://www.youtube.com/watch?v=NFrCQRv9IkI
S1,554,3876,사랑가,Betrayer,BanYa,S1,1.956544,1.0,0.0,0.764,0.0,False,True,54,59,3,3,1.0,0.9153,92,92,HP & ANDAMIRO,1,False,False,False,False,0|1|2|3|4,0.000|0.000|0.000|0.000|0.000,https://piugame.com/data/song_img2/f370805212bd54111e4443c8759ab0e2.png?v=20260701145646,,https://www.youtube.com/watch?v=fpLReU1-jNM
S1,232,3904,유 어게인 마이 러브,You again my love,CYO Style & Henohenomoheji,S1,1.339969,0.375,0.125,0.519,0.0,False,True,68,72,4,4,1.0,0.9444,137,137,AYAPPING,4,False,False,False,False,13|0|1|2|3,1.000|0.000|0.000|0.000|0.000,https://piugame.com/data/song_img2/9ce34fa1e500db4be8577c4f445a7843.png?v=20260701145646,,https://www.youtube.com/watch?v=Pql7BXh4TiI
S1,245,4014,미토츠다이라,Mitotsudaira,ETIA.,S1,1.503919,0.5,0.0,0.6,0.0,False,True,55,61,3,3,1.0,0.9016,136,136,NIMGO,4,False,False,False,False,0|1|2|3|4,0.000|0.000|0.000|0.000|0.000,https://piugame.com/data/song_img2/ecf79c1e42b93ee432951987eb08b108.png?v=20260701145646,,https://www.youtube.com/watch?v=-49kuhusZtI
S1,645,4859,빌려온 고양이,Do the Dance,ILLIT,S1,1.218468,0.25,0.0,0.658,0.0,False,True,28,39,2,2,1.0,0.7179,130,130,,8,False,False,False,True,0|1|2|3|4,0.000|0.000|0.000|0.000|0.000,https://piugame.com/data/song_img2/f5708ec13cb8ad496c5caa28a0b6bf6b.png?v=20260701145646,https://www.youtube.com/watch?v=j6-iCzirLAs,
S1,647,4870,404 (뉴 에라),404 (New Era),KiiiKiii,S1,1.46467,0.5,0.0,0.6,0.0,False,True,26,33,1,1,1.0,0.7879,127,127,,8,False,False,False,True,0|1|2|3|4,0.000|0.000|0.000|0.000|0.000,https://piugame.com/data/song_img2/7d6433d1feda34e4b32cecaeea517207.png?v=20260701145646,,
