표적,시각,알수,현재,전체
nolja_0803,81,11,3,17
nolja_0803,88,2,1,19
nolja_0803,89,2,2,19
nolja_0803,90,1,3,19
nolja_0803,91,2,3,19
nolja_0803,92,1,4,19
nolja_0803,94,1,5,19
nolja_0803,95,2,6,19
nolja_0803,96,1,6,19
nolja_0803,97,2,7,19
nolja_0803,98,1,7,19
nolja_0803,99,2,8,19
nolja_0803,100,1,8,19
nolja_0803,101,2,9,19
nolja_0803,102,2,9,19
nolja_0803,103,2,10,19
nolja_0803,104,2,10,19
nolja_0803,105,2,11,19
nolja_0803,107,2,12,19
nolja_0803,108,2,13,19
nolja_0803,109,1,14,19
nolja_0803,117,1,1,30
nolja_0803,118,2,2,30
nolja_0803,121,2,6,30
nolja_0803,122,2,7,30
nolja_0803,123,2,8,30
nolja_0803,124,1,9,30
nolja_0803,125,2,10,30
nolja_0803,126,2,11,30
nolja_0803,127,2,12,30
nolja_0803,128,1,13,30
nolja_0803,129,2,19,30
nolja_0803,132,1,19,30
nolja_0803,133,2,19,30
nolja_0803,134,1,20,30
nolja_0803,135,2,21,30
nolja_0803,144,2,21,107
nolja_0803,150,2,45,107
nolja_0803,152,2,56,107
nolja_0803,153,2,55,107
nolja_0803,325,2,53,107
nolja_0803,326,2,53,107
nolja_0803,327,2,53,107
nolja_0803,328,1,53,107
nolja_0803,329,2,53,107
nolja_0803,330,2,53,107
nolja_0803,331,2,53,107
nolja_0803,332,2,53,107
nolja_0803,333,1,53,107
nolja_0803,334,2,53,107
nolja_0803,335,2,53,107
nolja_0803,336,2,53,107
nolja_0803,337,2,53,107
nolja_0803,338,1,53,107
nolja_0803,339,2,53,107
nolja_0803,340,2,53,107
nolja_0803,341,2,53,107
nolja_0803,342,2,53,107
nolja_0803,343,1,53,107
nolja_0803,344,2,53,107
nolja_0803,345,2,53,107
nolja_0803,346,2,53,107
nolja_0803,347,2,53,107
nolja_0803,348,1,53,107
nolja_0803,349,2,53,107
nolja_0803,350,2,53,107
nolja_0803,353,1,6,111
nolja_0803,355,2,14,111
nolja_0803,356,2,17,111
nolja_0803,360,1,31,111
nolja_0803,361,1,34,111
nolja_0803,363,2,90,111
nolja_0803,370,2,63,111
nolja_0803,371,2,66,111
nolja_0803,372,2,69,111
nolja_0803,373,2,73,111
nolja_0803,374,2,26,111
nolja_0803,375,2,78,111
nolja_0803,376,2,81,111
nolja_0803,377,2,89,111
nolja_0803,378,2,87,111
nolja_0803,380,2,93,111
nolja_0803,382,2,98,111
nolja_0803,383,1,88,111
nolja_0803,385,2,103,111
nolja_0803,386,2,104,111
nolja_0803,584,2,110,111
nolja_0803,585,1,110,111
nolja_0803,599,2,3,79
nolja_0803,611,10,1,131
nolja_0803,613,8,6,131
nolja_0803,619,9,93,131
nolja_0803,620,9,49,131
nolja_0803,623,9,64,131
nolja_0803,626,11,88,131
nolja_0803,633,10,117,131
nolja_0803,634,9,117,131
nolja_0803,635,10,117,131
nolja_0803,636,10,117,131
nolja_0803,637,10,117,131
nolja_0803,638,10,117,131
nolja_0803,639,10,117,131
nolja_0803,640,10,117,131
nolja_0803,641,10,117,131
nolja_0803,642,10,117,131
nolja_0803,643,10,117,131
nolja_0803,644,9,117,131
nolja_0803,645,10,117,131
nolja_0803,646,10,117,131
nolja_0803,647,9,117,131
nolja_0803,648,10,117,131
nolja_0803,651,10,2,71
nolja_0803,652,9,6,71
nolja_0803,653,9,13,71
nolja_0803,655,10,19,71
nolja_0803,656,11,19,71
nolja_0803,657,11,19,71
nolja_0803,658,11,19,71
nolja_0803,659,10,19,71
nolja_0803,660,10,19,71
nolja_0803,831,10,1,43
nolja_0803,833,8,2,43
nolja_0803,834,5,3,43
nolja_0803,836,8,4,43
nolja_0803,837,8,5,43
nolja_0803,838,8,6,43
nolja_0803,839,6,7,43
nolja_0803,840,7,8,43
nolja_0803,841,8,9,43
nolja_0803,842,4,10,43
nolja_0803,843,2,11,43
nolja_0803,844,4,12,43
nolja_0803,850,9,19,99
nolja_0803,851,4,20,43
nolja_0803,852,6,21,43
nolja_0803,853,10,26,43
nolja_0803,855,6,24,43
nolja_0803,856,10,25,43
nolja_0803,857,4,26,43
nolja_0803,858,2,27,43
nolja_0803,859,5,28,43
nolja_0803,862,11,31,43
nolja_0803,863,6,32,43
nolja_0803,864,5,33,43
nolja_0803,865,4,33,43
nolja_0803,866,8,34,43
nolja_0803,867,9,35,43
nolja_0803,868,7,36,43
nolja_0803,869,9,37,43
nolja_0803,870,9,38,43
nolja_0803,871,5,39,43
nolja_0803,872,5,40,43
nolja_0803,873,4,41,43
nolja_0803,874,3,42,43
nolja_0803,875,3,43,43
nolja_0803,876,10,1,43
nolja_0803,878,11,1,105
nolja_0803,879,10,2,105
nolja_0803,880,11,3,105
nolja_0803,881,8,4,105
nolja_0803,882,8,5,105
nolja_0803,889,9,13,105
nolja_0803,890,8,12,105
nolja_0803,891,9,13,105
nolja_0803,892,7,14,105
nolja_0803,893,9,15,105
nolja_0803,894,2,16,105
nolja_0803,895,3,17,105
nolja_0803,896,3,18,105
nolja_0803,897,3,19,105
nolja_0803,898,3,20,105
nolja_0803,901,6,22,105
nolja_0803,902,6,22,105
nolja_0803,903,6,22,105
nolja_0803,908,1,74,79
