# 생성물이다 — 손으로 고치지 않는다. scan_gap_windows.py 가 쓴다.
# 화면 = 그 시각이 곡선택 화면인가. 못읽음이면 그 창은 판독 불가다.
방송,존,창시각,칸수,화면,또렷함
놀0810,PHOENIX,1:13:30,118,못읽음,0.00023
놀0814,D24,1:29:10,69,곡선택(줄),0.06805
놀0808,S14,1:32:20,57,곡선택,0.01089
놀0814,PRIME,1:21:10,56,곡선택(줄),0.0808
놀0814,S8,35:00,52,곡선택(줄),0.07611
놀0814,D22,1:28:20,52,곡선택(줄),0.08142
놀0814,S9,35:20,47,곡선택(줄),0.11902
놀0814,D17,1:20:10,47,곡선택(줄),0.1768
놀0814,D20,1:24:30,47,곡선택(줄),0.10405
놀0814,S22,59:10,46,곡선택(줄),0.08247
놀0814,S18,51:00,45,못읽음,0.0
놀0814,D14,1:16:00,45,곡선택(줄),0.14459
놀0814,S3,26:50,43,곡선택(줄),0.14361
놀0814,S6,31:10,42,곡선택(줄),0.11404
놀0814,S20,55:10,42,곡선택(줄),0.10121
놀0814,S4,30:30,41,곡선택(줄),0.07157
놀0814,S14,35:40,41,못읽음,0.0
놀0814,S11,38:40,41,곡선택(줄),0.1371
놀0814,S21,55:40,41,곡선택(줄),0.08774
놀0814,D18,1:20:30,41,곡선택(줄),0.06575
놀0814,D19,1:24:00,39,못읽음,0.0
놀0814,S4,30:20,37,곡선택(줄),0.08124
놀0814,S12,39:10,36,곡선택(줄),0.09615
놀0814,D13,1:15:40,36,곡선택(줄),0.0813
놀0814,D18,1:20:50,35,곡선택(줄),0.05068
놀0814,S15,42:50,31,못읽음,0.00043
놀0814,S7,34:40,31,곡선택(줄),0.07726
놀0814,S17,47:20,31,곡선택(줄),0.1503
놀0814,D15,1:16:10,31,곡선택(줄),0.08972
놀0814,PHOENIX,1:37:30,31,못읽음,0.0
놀0814,D21,1:24:50,30,곡선택(줄),0.15716
놀0814,S16,47:00,29,곡선택(줄),0.07073
놀0808,XX,1:55:00,29,못읽음,3e-05
놀0814,S7,34:30,25,못읽음,1e-05
놀0814,S18,51:10,25,못읽음,0.0
놀0814,D16,1:20:00,25,못읽음,0.0
놀0814,D20,1:24:20,25,곡선택(줄),0.11242
놀0808,S15,1:32:40,25,흐림,0.00308
놀0814,D18,1:20:40,23,곡선택(줄),0.12552
놀0814,S3,27:00,22,곡선택(줄),0.07494
놀0814,S4,30:10,22,곡선택(줄),0.06558
놀0814,S20,55:20,22,못읽음,0.0
놀0814,D12,1:15:20,21,못읽음,1e-05
놀0814,D19,1:24:10,21,곡선택(줄),0.15276
놀0814,D22,1:28:30,21,곡선택(줄),0.09583
놀0814,S13,13:00,20,곡선택(줄),0.10372
놀0803,S14,26:30,20,곡선택,0.00998
놀0814,S16,46:50,19,못읽음,2e-05
놀0814,S6,31:00,18,곡선택(줄),0.08646
놀0814,S17,47:30,18,곡선택(줄),0.08495
놀0814,D21,1:24:40,18,곡선택(줄),0.07552
놀0803,S16,1:09:20,18,곡선택,0.01047
놀0814,D25,1:33:00,17,못읽음,0.0
놀0803,S13,15:10,17,흐림,0.00305
놀0814,S2,26:20,16,곡선택(줄),0.1425
놀0814,S12,39:20,16,곡선택(줄),0.13416
놀0814,S19,51:50,16,곡선택(줄),0.1099
놀0814,S21,55:50,16,곡선택(줄),0.08525
놀0814,S23,59:30,16,곡선택(줄),0.10707
놀0814,S5,30:50,15,곡선택(줄),0.13512
놀0814,S7,34:50,15,곡선택(줄),0.12564
놀0814,D17,1:20:20,15,곡선택(줄),0.10147
놀0814,D23,1:28:40,15,곡선택(줄),0.09093
놀0814,S1,26:00,14,못읽음,4e-05
놀0814,S16,47:20,14,곡선택(줄),0.1503
놀0814,D16,1:19:50,14,못읽음,0.00056
놀0814,D23,1:28:50,14,곡선택(줄),0.08684
놀0814,S8,35:10,13,곡선택(줄),0.11064
놀0814,S11,38:50,13,곡선택(줄),0.14155
놀0814,S12,39:00,13,곡선택(줄),0.08356
놀0814,S19,51:40,13,곡선택(줄),0.08996
놀0808,S21,3:06:30,13,곡선택,0.00871
놀0814,D13,1:15:50,12,곡선택(줄),0.14502
놀0814,D23,1:29:00,12,곡선택(줄),0.07135
놀0814,D12,1:15:30,11,곡선택(줄),0.10034
놀0814,D21,1:25:00,11,곡선택(줄),0.07949
놀0808,S13,1:29:00,11,곡선택(줄),0.05621
놀0814,S5,30:40,10,곡선택(줄),0.09558
놀0814,PHOENIX 2,1:16:30,10,못읽음,0.0
놀0803,S12,5:50,10,곡선택,0.01068
놀0808,S15,1:33:00,10,못읽음,0.00017
놀0814,S23,59:20,9,곡선택(줄),0.07989
놀0814,PRIME,1:21:00,9,곡선택(줄),0.08378
놀0803,PHOENIX,59:10,9,곡선택,0.00869
놀0814,S21,55:30,8,곡선택(줄),0.10305
놀0808,S20,2:55:00,8,곡선택,0.01225
놀0810,숏컷 채널,19:00,8,흐림,0.00422
놀0814,S19,54:50,7,곡선택(줄),0.09644
놀0814,D11,1:12:00,7,곡선택(줄),0.08677
놀0814,D25,1:33:10,7,못읽음,0.0
놀0814,S16,47:10,6,못읽음,0.0
놀0814,S16,47:50,6,못읽음,0.0
놀0803,XX,49:10,6,곡선택,0.00753
놀0803,XX,49:40,6,곡선택,0.00815
놀0803,PHOENIX,58:50,5,곡선택,0.00812
놀0803,PHOENIX,58:40,5,곡선택,0.00675
놀0810,뉴튠즈,3:01:20,5,곡선택(줄),0.06035
놀0814,S4,30:40,4,곡선택(줄),0.09558
놀0814,D10,1:11:40,4,못읽음,0.0
놀0814,숏컷 채널,4:20,3,곡선택(줄),0.11722
놀0814,S24,59:30,3,곡선택(줄),0.10707
놀0814,PHOENIX,1:37:50,3,곡선택(줄),0.09053
