표적,초,번호,채널크기,종류,알
nolja_0803,90,3,19,난이도존,01
nolja_0803,92,4,19,난이도존,01
nolja_0803,94,5,19,난이도존,01
nolja_0803,96,6,19,난이도존,01
nolja_0803,98,7,19,난이도존,01
nolja_0803,100,8,19,난이도존,01
nolja_0803,109,14,19,난이도존,01
nolja_0803,117,1,30,난이도존,02
nolja_0803,124,9,30,난이도존,02
nolja_0803,128,13,30,난이도존,02
nolja_0803,132,19,30,난이도존,02
nolja_0803,134,20,30,난이도존,02
nolja_0803,328,53,107,난이도존,11
nolja_0803,333,53,107,난이도존,11
nolja_0803,338,53,107,난이도존,11
nolja_0803,343,53,107,난이도존,11
nolja_0803,348,53,107,난이도존,11
nolja_0803,353,6,111,난이도존,12
nolja_0803,360,31,111,난이도존,12
nolja_0803,361,34,111,난이도존,12
nolja_0803,383,88,111,난이도존,12
nolja_0803,585,110,111,난이도존,12
nolja_0803,908,74,79,난이도존,13
nolja_0803,913,52,79,난이도존,13
nolja_0803,1130,62,105,난이도존,14
nolja_0803,1159,45,79,난이도존,14
nolja_0803,1586,64,65,난이도존,14
nolja_0803,1591,51,65,난이도존,14
nolja_0803,1597,26,65,난이도존,14
nolja_0803,1833,56,65,난이도존,14
nolja_0803,1835,63,65,난이도존,14
nolja_0803,1901,1,65,곡선택아님,
nolja_0803,2113,2,121,난이도존,15
nolja_0803,2129,74,121,난이도존,15
nolja_0803,2453,1,121,난이도존,15
nolja_0803,2458,80,121,난이도존,15
nolja_0803,2664,76,121,난이도존,15
nolja_0803,2920,119,121,난이도존,15
nolja_0803,2931,62,121,난이도존,15
nolja_0803,3000,8,121,난이도존,15
nolja_0803,3492,2,176,난이도존,16
nolja_0803,3782,107,107,난이도존,11
nolja_0803,3785,103,107,난이도존,11
nolja_0803,3794,93,107,난이도존,11
nolja_0803,3796,91,107,난이도존,11
nolja_0803,3801,85,107,난이도존,11
nolja_0803,3805,80,107,난이도존,11
nolja_0803,3811,73,107,난이도존,11
nolja_0803,3815,68,107,난이도존,11
nolja_0803,3827,64,107,난이도존,11
nolja_0803,3828,53,107,난이도존,11
nolja_0803,3968,54,107,난이도존,11
nolja_0803,3970,54,107,난이도존,11
nolja_0803,4128,53,107,난이도존,11
nolja_0803,4133,53,107,난이도존,11
nolja_0803,4138,53,107,난이도존,11
nolja_0803,4139,53,107,난이도존,11
nolja_0803,4143,53,107,난이도존,11
nolja_0803,4148,53,107,난이도존,11
nolja_0803,4153,53,107,난이도존,11
