표적,시작초,끝초,크기,묶음,존이름,근거
nolja_0803,88,109,19,1,S1,표지
nolja_0803,117,135,30,,S2,사람판독:이름
nolja_0803,144,153,107,,S11,사람판독:이름
nolja_0803,325,363,107,,S11,사람판독:이름
nolja_0803,370,386,111,,S12,사람판독:이름
nolja_0803,611,626,131,2,1st~ZERO,표지
nolja_0803,633,660,131,,1st~ZERO,이어받음
nolja_0803,831,882,43,3,1st~ZERO,표지
nolja_0803,889,913,105,,1st~ZERO,이어받음
nolja_0803,1076,1150,79,,1st~ZERO,이어받음
nolja_0803,1322,1391,105,,1st~ZERO,이어받음
nolja_0803,1579,1605,65,,1st~ZERO,이어받음
nolja_0803,1616,1663,79,,,사람판독:이동
nolja_0803,1832,1901,65,,,미상
nolja_0803,2109,2133,19,,,미상
nolja_0803,2142,2196,76,4,PRIME,표지
nolja_0803,2372,2386,121,,PRIME,이어받음
nolja_0803,2393,2458,73,5,FIESTA~FIESTA 2,표지
nolja_0803,2664,2673,121,,FIESTA~FIESTA 2,이어받음
nolja_0803,2683,2740,73,6,PRIME 2,표지
nolja_0803,2914,2931,121,,PRIME 2,이어받음
nolja_0803,2942,3003,103,7,FIESTA~FIESTA 2,표지
nolja_0803,3188,3252,97,,FIESTA~FIESTA 2,이어받음
nolja_0803,3487,3568,19,,FIESTA~FIESTA 2,이어받음
nolja_0803,3750,3828,176,,S11,사람판독:이름
nolja_0803,3968,3971,107,,S11,이어받음
nolja_0803,4128,4217,107,,S16,사람판독:이름
nolja_0803,4831,4838,17,,S16,이어받음
nolja_0803,5334,5363,131,8,XX,표지
nolja_0803,5596,5598,17,,XX,이어받음
nolja_0803,5860,5919,17,,XX,이어받음
nolja_0803,6123,6128,131,,XX,이어받음
nolja_0803,6749,6762,132,9,PHOENIX 2,표지
nolja_0803,7006,7020,132,,PHOENIX 2,이어받음
nolja_0803,7263,7278,131,,PHOENIX 2,이어받음
nolja_0803,7564,7594,19,,PHOENIX 2,이어받음
nolja_0803,7826,7835,132,10,PHOENIX,표지
nolja_0803,8076,8085,132,,PHOENIX,이어받음
nolja_0803,8337,8375,132,,PHOENIX,이어받음
nolja_0803,8596,8636,131,,PHOENIX,이어받음
nolja_0803,10009,10055,132,11,1st~ZERO,표지
nolja_0803,10251,10259,132,,1st~ZERO,이어받음
nolja_0803,10516,10519,131,,1st~ZERO,이어받음
nolja_0803,11443,11457,17,,S17,사람판독:이름
nolja_0803,11629,11718,177,,S17,이어받음
nolja_0803,12702,12722,19,,S17,이어받음
nolja_0803,13197,13228,131,,S17,이어받음
nolja_0808,1036,1059,79,,,미상
nolja_0808,1066,1114,120,,S16,사람판독:이름
nolja_0808,1418,1437,17,,S16,이어받음
nolja_0808,1615,1618,17,,S16,이어받음
nolja_0808,1627,1675,7,12,D5,표지
nolja_0808,1685,1690,70,13,PRIME 2,표지
nolja_0808,1859,1890,16,14,D10,표지
nolja_0808,1900,1908,10,15,D27이상,표지
nolja_0808,1917,1921,131,16,PHOENIX 2,표지
nolja_0808,2120,2155,19,,PHOENIX 2,이어받음
nolja_0808,2319,2367,19,,PHOENIX 2,이어받음
nolja_0808,2527,2530,10,,PHOENIX 2,이어받음
nolja_0808,2679,2681,11,,PHOENIX 2,이어받음
nolja_0808,2737,2744,56,17,D25,표지
nolja_0808,2755,2765,29,18,D24,표지
nolja_0808,2884,2888,89,,D24,이어받음
nolja_0808,2966,2969,29,19,D26,표지
nolja_0808,3078,3106,19,,D26,이어받음
nolja_0808,3313,3331,19,20,온라인채널,표지
nolja_0808,3485,3494,19,,온라인채널,이어받음
nolja_0808,3505,3507,11,21,S24,표지
nolja_0808,3662,3670,11,,S24,이어받음
nolja_0808,3700,3715,10,22,숏컷,표지
nolja_0808,3858,3929,10,,숏컷,이어받음
nolja_0808,4164,4179,120,,,사람판독:이동
nolja_0808,4486,4493,132,,,미상
nolja_0808,4515,4535,51,,,미상
nolja_0808,4694,4698,51,,,미상
nolja_0808,5057,5061,19,,,미상
nolja_0808,5069,5087,145,24,S9,표지
nolja_0808,5100,5133,96,,,사람판독:이동
nolja_0808,5290,5362,73,,,미상
nolja_0808,5369,5373,73,25,PRIME,표지
nolja_0808,5539,5614,65,26,S13,표지
nolja_0808,5746,5788,79,,S13,이어받음
nolja_0808,5797,5816,177,,,사람판독:이동
nolja_0808,5995,6035,19,,,미상
nolja_0808,6583,6590,11,27,S24,표지
nolja_0808,6713,6717,132,,,사람판독:이동
nolja_0808,6904,6911,109,28,XX,표지
nolja_0808,7147,7155,109,,XX,이어받음
nolja_0808,7412,7426,132,,XX,이어받음
nolja_0808,7675,7701,121,,XX,이어받음
nolja_0808,8461,8477,19,29,뉴튠즈,표지
nolja_0808,8673,8679,19,,뉴튠즈,이어받음
nolja_0808,8931,8942,19,,뉴튠즈,이어받음
nolja_0808,9178,9201,132,,뉴튠즈,이어받음
nolja_0808,9431,9436,121,,뉴튠즈,이어받음
nolja_0808,9784,9800,19,,뉴튠즈,이어받음
nolja_0808,9945,9949,177,,뉴튠즈,이어받음
nolja_0808,10106,10121,157,,뉴튠즈,이어받음
nolja_0808,10298,10331,120,,뉴튠즈,이어받음
nolja_0808,10492,10526,120,,뉴튠즈,이어받음
nolja_0808,10946,10968,19,,뉴튠즈,이어받음
nolja_0808,11164,11168,19,,뉴튠즈,이어받음
nolja_0808,11177,11199,132,30,S21,표지
nolja_0808,11209,11230,132,,S21,이어받음
nolja_0808,11403,11432,132,,S21,이어받음
nolja_0810,232,237,79,31,(더블 상위메뉴),표지
nolja_0810,396,418,79,,(더블 상위메뉴),이어받음
nolja_0810,588,599,17,,(더블 상위메뉴),이어받음
nolja_0810,619,624,132,32,1st~ZERO,표지
nolja_0810,812,816,70,33,PHOENIX,표지
nolja_0810,1009,1012,131,,PHOENIX,이어받음
nolja_0810,1124,1140,62,,PHOENIX,이어받음
nolja_0810,1284,1314,17,,PHOENIX,이어받음
nolja_0810,1797,1808,65,,PHOENIX,이어받음
nolja_0810,2030,2035,17,,PHOENIX,이어받음
nolja_0810,2290,2302,70,,,크레딧끊김
nolja_0810,2532,2540,131,34,1st~ZERO,표지
nolja_0810,2858,2870,17,,1st~ZERO,이어받음
nolja_0810,3126,3134,104,35,FIESTA~FIESTA 2,표지
nolja_0810,3754,3757,120,36,S15,표지
nolja_0810,3768,3772,146,37,S18,표지
nolja_0810,3941,4001,146,,,크레딧끊김
nolja_0810,4174,4181,65,,,미상
nolja_0810,4412,4420,132,38,PHOENIX,표지
nolja_0810,4659,4691,17,,,크레딧끊김
nolja_0810,4913,4936,131,,,미상
nolja_0810,5215,5217,19,,,미상
nolja_0810,5253,5259,157,39,S15,표지
nolja_0810,5484,5512,157,,,크레딧끊김
nolja_0810,5748,5756,121,,,미상
nolja_0810,5990,6023,177,,,미상
nolja_0810,6234,6276,73,,,미상
nolja_0810,6807,6859,76,,,크레딧끊김
nolja_0810,7049,7075,105,,,미상
nolja_0810,7294,7321,104,,,미상
nolja_0810,7550,7572,97,,,미상
nolja_0810,7582,7590,131,40,PRIME 2,표지
