# **화면 카운터로 실측한 존 총수** — 손으로 적는 정본 (2026-08-26 신설).
#
# 왜 생겼나
# ---------
# S15 의 총 곡수가 표와 안 맞는 것을 계기로 다른 존도 확인했다.
# **총수가 찍힌 33존 중 15존이 어긋난다.**
#
# 우리 표(`level_zone_order.csv`)의 행수는 **설치본에서 유도한 것**이고,
# 화면 카운터의 `NNN/TTT` 는 **오락실 실물**이다. 둘이 다르면 실물이 이긴다.
#
# ★ 총수는 **날짜에 딸린다** — S15 는 8/14 에 121, 8/25 에 120 이었고 S20 은 120→119 다.
#   그래서 `관측일` 을 같이 적고, 화면은 **가장 최근 것**을 쓴다.
#
# 근거는 `frame_verify.csv` 의 산문에서 한 번 긁어 굳힌 것이다(매번 긁으면 못 미덥다).
존,화면총수,방송,우리표,차이
D12,61,nolja_0814,61,0
D13,84,nolja_0808,84,0
D14,62,nolja_0808,62,0
D15,79,nolja_0808,78,1
D16,79,sngl_0810,79,0
D16,79,sngl_0811,79,0
D17,102,nolja_0814,102,0
D17,102,sngl_0811,102,0
D18,159,sngl_0811,158,1
D19,118,nolja_0825,118,0
D21,109,sngl_0810,110,-1
D22,122,nolja_0814,123,-1
D22,122,sngl_0810,123,-1
D23,106,sngl_0810,106,0
D24,103,nolja_0814,105,-2
D25,56,nolja_0814,57,-1
PRIME,76,nolja_0803,76,0
S11,107,nolja_0803,107,0
S12,111,nolja_0814,111,0
S13,79,nolja_0814,79,0
S13,79,nolja_0825,79,0
S14,65,nolja_0803,65,0
S14,65,nolja_0825,65,0
S15,121,nolja_0814,121,0
S15,121,nolja_0825,120,1
S16,176,nolja_0803,176,0
S17,177,nolja_0803,177,0
S18,157,nolja_0814,158,-1
S19,149,nolja_0814,150,-1
S20,120,nolja_0814,120,0
S20,120,nolja_0825,119,1
S21,132,nolja_0814,131,1
S22,92,nolja_0814,92,0
S23,51,nolja_0808,51,0
S4,154,nolja_0814,154,0
S5,80,nolja_0814,80,0
S6,98,nolja_0814,98,0
S7,145,nolja_0808,145,0
S8,90,nolja_0814,90,0
S9,79,nolja_0814,79,0
S25,11,nolja_0814,10,1
S25,11,nolja_0808,10,1
